zona,bairro,local,endereco,secao,denise,helenir,total
59,Capão da Porteira,EE FRANCISCO CANQUERINI,"RS 040, KM 50 - PDA. 133, CAPÃO DA PORTEIRA",32,2,3,5
59,Capão da Porteira,EE FRANCISCO CANQUERINI,"RS 040, KM 50 - PDA. 133, CAPÃO DA PORTEIRA",129,1,1,2
59,Centro,CENTRO DE FORMAÇÃO PROFISSIONAL WALTER GRAF,"RUA MARECHAL DEODORO, 220, CENTRO",177,2,1,3
59,Centro,CENTRO DE FORMAÇÃO PROFISSIONAL WALTER GRAF,"RUA MARECHAL DEODORO, 220, CENTRO",324,3,4,7
59,Centro,CENTRO DE FORMAÇÃO PROFISSIONAL WALTER GRAF,"RUA MARECHAL DEODORO, 220, CENTRO",355,0,2,2
59,Centro,COLÉGIO ADVENTISTA DE VIAMÃO,"RUA GENERAL CÂMARA, 226, CENTRO",13,1,2,3
59,Centro,COLÉGIO ADVENTISTA DE VIAMÃO,"RUA GENERAL CÂMARA, 226, CENTRO",29,2,1,3
59,Centro,COLÉGIO ADVENTISTA DE VIAMÃO,"RUA GENERAL CÂMARA, 226, CENTRO",118,1,3,4
59,Centro,COLÉGIO ADVENTISTA DE VIAMÃO,"RUA GENERAL CÂMARA, 226, CENTRO",269,1,0,1
59,Centro,COLÉGIO ADVENTISTA DE VIAMÃO,"RUA GENERAL CÂMARA, 226, CENTRO",331,1,2,3
59,Centro,COLÉGIO ADVENTISTA DE VIAMÃO,"RUA GENERAL CÂMARA, 226, CENTRO",368,1,2,3
59,Centro,COLÉGIO ADVENTISTA DE VIAMÃO,"RUA GENERAL CÂMARA, 226, CENTRO",416,3,3,6
59,Centro,COLÉGIO ESTADUAL CECILIA MEIRELES,"RUA ALCIDES MAIA, 390, CENTRO",27,2,0,2
59,Centro,COLÉGIO ESTADUAL CECILIA MEIRELES,"RUA ALCIDES MAIA, 390, CENTRO",173,2,2,4
59,Centro,COLÉGIO ESTADUAL CECILIA MEIRELES,"RUA ALCIDES MAIA, 390, CENTRO",330,1,0,1
59,Centro,COLÉGIO ESTADUAL CECILIA MEIRELES,"RUA ALCIDES MAIA, 390, CENTRO",390,3,2,5
59,Centro,COLÉGIO ESTADUAL CECILIA MEIRELES,"RUA ALCIDES MAIA, 390, CENTRO",426,2,1,3
59,Centro,COLÉGIO ESTADUAL CECILIA MEIRELES,"RUA ALCIDES MAIA, 390, CENTRO",516,1,0,1
59,Centro,COLÉGIO STELLA MARIS,"AVENIDA CEL MÁRIO ANTUNES DA VEIGA, 453, CENTRO",41,2,1,3
59,Centro,COLÉGIO STELLA MARIS,"AVENIDA CEL MÁRIO ANTUNES DA VEIGA, 453, CENTRO",135,3,2,5
59,Centro,COLÉGIO STELLA MARIS,"AVENIDA CEL MÁRIO ANTUNES DA VEIGA, 453, CENTRO",239,3,3,6
59,Centro,COLÉGIO STELLA MARIS,"AVENIDA CEL MÁRIO ANTUNES DA VEIGA, 453, CENTRO",361,3,4,7
59,Centro,COLÉGIO STELLA MARIS,"AVENIDA CEL MÁRIO ANTUNES DA VEIGA, 453, CENTRO",389,3,2,5
59,Centro,COLÉGIO STELLA MARIS,"AVENIDA CEL MÁRIO ANTUNES DA VEIGA, 453, CENTRO",412,1,2,3
59,Centro,COLÉGIO STELLA MARIS,"AVENIDA CEL MÁRIO ANTUNES DA VEIGA, 453, CENTRO",434,3,1,4
59,Centro,SALÃO PAROQUIAL DA IGREJA NOSSA SENHORA DA CONCEIÇÃO,"PRAÇA CÔNEGO BERNARDO MACHADO DOS SANTOS, 53, CENTRO",70,2,0,2
